#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
478,Hunter Feduccia,LAD,5,16,18,3,2,1,0,0,2,2,2,0,5,0,0,0,0,0,0.211
479,Korey Lee,CHW,44,155,167,33,21,7,0,5,17,17,9,0,49,1,1,1,3,1,0.216
480,Deyvison De Los Santos,MIA,81,306,328,76,48,13,1,14,37,42,16,1,85,3,2,1,1,0,0.248
481,Jacob Amaya,CHW,8,28,32,6,4,1,0,1,3,3,3,0,8,0,0,0,0,0,0.215
482,Nasim Nuñez,WSN,5,17,20,4,3,1,0,0,2,1,2,0,4,0,0,0,1,0,0.228
483,Jimmy Crooks,STL,3,11,12,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.240
484,Jason Delay,PIT,5,16,18,4,3,1,0,0,2,1,1,0,4,0,0,0,0,0,0.230
485,Shay Whitcomb,HOU,6,24,26,5,3,1,0,1,3,3,2,0,7,0,0,0,1,0,0.225
486,Wade Meckler,SFG,3,12,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.258
487,Tomás Nido,DET,5,16,17,4,3,1,0,0,2,2,1,0,4,0,0,0,0,0,0.234
488,Kevin Alcántara,CHC,11,41,45,10,7,2,0,1,5,5,3,0,13,0,0,0,1,0,0.237
489,Everson Pereira,NYY,6,23,26,5,3,1,0,1,3,3,2,0,8,0,0,0,0,0,0.233
490,Adael Amador,COL,6,22,25,5,4,1,0,1,3,3,2,0,5,0,0,0,1,0,0.243
491,Jonatan Clase,TOR,8,29,32,6,4,1,0,1,4,3,3,0,9,0,0,0,2,1,0.220
492,James Outman,LAD,3,11,13,2,2,0,0,0,2,1,1,0,4,0,0,0,0,0,0.220
493,Riley Adams,WSN,27,97,108,22,13,5,0,3,11,12,9,0,31,2,1,0,1,0,0.224
494,Ji Hwan Bae,PIT,3,12,13,3,2,1,0,0,1,1,1,0,3,0,0,0,1,0,0.254
495,DJ Stewart,PIT,8,28,33,6,4,1,0,1,4,4,4,0,9,1,0,0,0,0,0.218
496,Owen Caissie,CHC,8,29,33,7,4,1,0,1,4,4,3,0,10,0,0,0,0,0,0.234
497,Liover Peguero,PIT,6,24,26,6,4,1,0,1,3,3,2,0,6,0,0,0,1,0,0.232
498,Jair Camargo,MIN,5,17,18,3,2,1,0,1,2,2,1,0,6,0,0,0,0,0,0.204
499,Tyler Wade,SDP,21,77,85,17,13,3,0,1,8,7,7,0,21,1,1,0,4,1,0.221
500,Zach Dezenzo,HOU,5,18,20,4,3,1,0,1,2,2,1,0,6,0,0,0,0,0,0.239
501,Tim Tawa,ARI,5,18,20,4,3,1,0,1,2,2,1,0,5,0,0,0,0,0,0.232
502,Austin Shenton,SEA,8,29,33,6,4,1,0,1,3,3,4,0,11,0,0,0,0,0,0.209
503,Enmanuel Valdez,PIT,3,12,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.234
504,Reese McGuire,CHC,3,11,12,2,2,0,0,0,1,1,1,0,3,0,0,0,0,0,0.226
505,Jahmai Jones,DET,5,17,20,4,3,1,0,0,2,2,2,0,5,0,0,0,0,0,0.223
506,Michael Helman,STL,15,54,59,12,8,3,0,1,6,6,4,0,14,1,0,0,1,0,0.224
507,Seby Zavala,BOS,3,11,12,2,1,0,0,0,1,1,1,0,4,0,0,0,0,0,0.199
508,Bryan De La Cruz,ATL,26,104,112,25,17,5,0,4,13,13,6,0,29,1,1,0,1,0,0.244
509,Trey Lipscomb,WSN,8,29,32,7,5,1,0,0,3,3,2,0,6,0,0,0,1,0,0.245
510,Nacho Alvarez Jr.,ATL,3,12,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.243
511,Alexander Canario,NYM,6,23,26,5,3,1,0,1,3,3,2,0,8,0,0,0,0,0,0.213
512,Jorbit Vivas,NYY,3,11,13,3,2,0,0,0,1,1,1,0,2,0,0,0,0,0,0.220
513,Billy Cook,PIT,21,74,82,17,11,3,0,2,9,9,6,0,23,1,1,0,2,1,0.230
514,Livan Soto,BAL,3,12,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.228
515,Nick Maton,CHW,3,12,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.217
516,Kameron Misner,TBR,6,23,27,5,3,1,0,1,3,3,3,0,9,0,0,0,1,0,0.200
517,Aledmys Díaz,,13,49,53,11,8,2,0,1,5,5,3,0,11,1,0,0,0,0,0.232
518,Cavan Biggio,KCR,5,17,19,4,2,1,0,0,2,2,2,0,5,0,0,0,0,0,0.212
519,Rowdy Tellez,SEA,5,18,20,4,3,1,0,1,2,3,2,0,5,0,0,0,0,0,0.230
520,Jakob Marsee,MIA,5,17,20,4,2,1,0,0,2,2,2,0,5,0,0,0,1,0,0.207
521,Joe Mack,MIA,3,11,12,2,2,0,0,0,1,1,1,0,3,0,0,0,0,0,0.214
522,Miguel Sanó,,10,36,41,8,5,1,0,2,5,5,4,0,14,1,0,0,0,0,0.218
523,Keston Hiura,COL,3,12,13,3,2,0,0,1,2,2,1,0,4,0,0,0,0,0,0.248
524,César Salazar,HOU,2,5,6,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.211
525,Matt Koperniak,STL,5,18,20,4,3,1,0,0,2,2,1,0,4,0,0,0,0,0,0.249
526,Brady House,WSN,8,31,33,7,5,1,0,1,3,3,2,0,9,0,0,0,0,0,0.226
527,Brandon Lockridge,SDP,10,36,40,8,6,2,0,1,4,4,3,0,11,0,0,0,2,0,0.230
528,José Fermín,STL,2,6,7,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.244
529,David Bote,LAD,3,12,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.228
530,Kevin Pillar,TEX,6,25,27,6,4,1,0,1,3,3,1,0,6,0,0,0,1,0,0.231
531,Andrés Chaparro,WSN,6,25,28,6,4,1,0,1,3,3,2,0,6,0,0,0,0,0,0.242
532,Kody Clemens,PHI,5,18,19,4,2,1,0,1,2,2,1,0,5,0,0,0,0,0,0.226
533,Tyler Gentry,KCR,8,29,32,7,4,1,0,1,3,3,3,0,9,0,0,0,0,0,0.230
534,Jakson Reetz,NYM,2,5,6,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0.199
535,Omar Narváez,CHW,5,16,18,3,2,1,0,0,2,2,2,0,4,0,0,0,0,0,0.222
536,Luke Maile,KCR,5,15,17,3,2,1,0,0,2,2,1,0,5,0,0,0,0,0,0.218
537,Nick Sogard,BOS,2,6,6,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0.238
